investorName,entityName,roundSizeUsd,round,totalInvested
Abu Dhabi Invest. Authority,MEGVII,750000000,Series D,750000000
ICBC Asset Management,MEGVII,750000000,Series D,750000000
Bank of China Group Invest.,MEGVII,750000000,Series D,750000000
Blank Vent.,1Password,620000000,Series C,620000000
TLG Cap.,Fenergo,600000000,Private Equity,600000000
China Reform Holdings Corporation,MEGVII,460000000,Series C,460000000
Foxconn Tec. Group,MEGVII,460000000,Series C,650987842
Sunshine Insurance Group,MEGVII,460000000,Series C,460000000
SK Group,MEGVII,460000000,Series C,460000000
Russia-China Invest. Fund,MEGVII,460000000,Series C,460000000
Healthcare of Ontario Pension Plan,Pagaya Invest.s,350000000,Post-IPO Equity,350000000
L Catterton,Forter,300000000,Series F,5488529036
L Catterton,Forter,300000000,Series F,5488529036
01 Advisors,Tipalti,270000000,Series F,516794686
DST Global,Stripe,245000000,Series E,2216498117
DST Global,Stripe,245000000,Series E,2216498117
DST Global,Stripe,245000000,Series E,2216498117
Cap. Group,Domo,235037225,Series D,235037225
Dragon Cap.,Exabeam,200000000,Series F,425700000
HSBC Bank Singapore,Atome,200000000,Debt Financing,400000000
Victory Park Cap.,ZeroFox,170000000,Post-IPO Equity,579729439
Dragon Cap.,Netskope,168700000,Series F,425700000
Key 1 Cap.,CHEQ,150000000,Series C,150000000
01 Advisors,Tipalti,150000000,Series E,516794686
Hanaco Vent. Cap.,CHEQ,150000000,Series C,453000000
Atlas Benjelloun,Cloudflare,150000000,Series E,160000000
Alven,Stripe,150000000,Series D,804673743
Alven,Stripe,150000000,Series D,804673743
Alven,Stripe,150000000,Series D,804673743
Credit Suisse,Domo,131000000,Series D,261000000
Hummer Winblad Vent. Partners,Domo,125000000,Series C,155000000
Mercato Partners,Domo,125000000,Series C,194000000
Highgoal Cap.,unifonic,125000000,Series B,125000000
Riyad Bank,unifonic,125000000,Series B,126000000
212,Insider,121000000,Series D,146200000
Maor Invest.s,Silverfort,116000000,Series D,166882200
Brighton Park Cap.,Silverfort,116000000,Series D,358108584
Aflac Innovation Partners LLC,Pagaya Invest.s,102000000,Series D,102000000
Harvey Golub,Pagaya Invest.s,102000000,Series D,141000000
Clal Insurance Enterprises Holdings,Pagaya Invest.s,102000000,Series D,141000000
GF Invest.s,Pagaya Invest.s,102000000,Series D,141000000
CCB International,MEGVII,100000000,Series C,4600000000
Foxteq Holdings,MEGVII,100000000,Series C,100000000
