investorName,entityName,roundSizeUsd,round,totalInvested
Abu Dhabi Investment Authority,MEGVII,750000000,Series D,750000000
ICBC Asset Management,MEGVII,750000000,Series D,750000000
Bank of China Group Investment,MEGVII,750000000,Series D,750000000
Blank Ventures,1Password,620000000,Series C,620000000
TLG Capital,Fenergo,600000000,Private Equity,600000000
China Reform Holdings Corporation,MEGVII,460000000,Series C,460000000
Foxconn Technology Group,MEGVII,460000000,Series C,650987842
Sunshine Insurance Group,MEGVII,460000000,Series C,460000000
SK Group,MEGVII,460000000,Series C,460000000
Russia-China Investment Fund,MEGVII,460000000,Series C,460000000
Healthcare of Ontario Pension Plan (HOOPP),Pagaya Investments,350000000,Post-IPO Equity,350000000
L Catterton,Forter,300000000,Series F,5488529036
L Catterton,Forter,300000000,Series F,5488529036
01 Advisors,Tipalti,270000000,Series F,516794686
DST Global,Stripe,245000000,Series E,2216498117
DST Global,Stripe,245000000,Series E,2216498117
DST Global,Stripe,245000000,Series E,2216498117
Capital Group,Domo,235037225,Series D,235037225
Dragon Capital,Exabeam,200000000,Series F,425700000
HSBC Bank Singapore,Atome,200000000,Debt Financing,400000000
Victory Park Capital,ZeroFox,170000000,Post-IPO Equity,579729439
Dragon Capital,Netskope,168700000,Series F,425700000
Key 1 Capital,CHEQ,150000000,Series C,150000000
01 Advisors,Tipalti,150000000,Series E,516794686
Hanaco Venture Capital,CHEQ,150000000,Series C,453000000
Atlas Benjelloun,Cloudflare,150000000,Series E,160000000
Alven,Stripe,150000000,Series D,804673743
Alven,Stripe,150000000,Series D,804673743
Alven,Stripe,150000000,Series D,804673743
Credit Suisse,Domo,131000000,Series D,261000000
Hummer Winblad Venture Partners,Domo,125000000,Series C,155000000
Mercato Partners,Domo,125000000,Series C,194000000
Highgoal Capital,unifonic,125000000,Series B,125000000
Riyad Bank,unifonic,125000000,Series B,126000000
212,Insider,121000000,Series D,146200000
Maor Investments,Silverfort,116000000,Series D,166882200
Brighton Park Capital,Silverfort,116000000,Series D,358108584
Aflac Innovation Partners LLC,Pagaya Investments,102000000,Series D,102000000
Harvey Golub,Pagaya Investments,102000000,Series D,141000000
Clal Insurance Enterprises Holdings,Pagaya Investments,102000000,Series D,141000000
